,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Lot_Shape,Land_Contour,Lot_Config,Land_Slope,Neighborhood,Condition_1,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Roof_Style,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Exposure,Bsmt_Unf_SF,Total_Bsmt_SF,Heating_QC,1st_Flr_SF,2nd_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Screen_Porch,Pool_Area,Mo_Sold,Sale_Type,Sale_Condition,SalePrice,exterior,basement_type,basement_area,age,remodeled_age,garage_age
0,20,RL,141.0,31770,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,5,Hip,Stone,112.0,TA,TA,CBlock,TA,Gd,441.0,1080.0,Fa,1656,0,0,1656,1.0,0.0,1,0,3,1,TA,7,2,Gd,Attchd,Fin,2.0,528.0,TA,210,62,0,0,0,5,WD ,Normal,215000,0,BLQ_Unf,639.0,50,0,50.0
1,20,RL,93.0,11160,Reg,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,7,5,Hip,None,0.0,Gd,TA,CBlock,TA,No,1045.0,2110.0,Ex,2110,0,0,2110,1.0,0.0,2,1,3,1,Ex,8,2,TA,Attchd,Fin,2.0,522.0,TA,0,0,0,0,0,4,WD ,Normal,244000,BrkFace_BrkFace,ALQ_Unf,1065.0,42,0,42.0
2,60,RL,74.0,13830,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,2Story,5,5,Gable,None,0.0,TA,TA,PConc,Gd,No,137.0,928.0,Gd,928,701,0,1629,0.0,0.0,2,1,3,1,TA,6,1,TA,Attchd,Fin,2.0,482.0,TA,212,34,0,0,0,3,WD ,Normal,189900,VinylSd_VinylSd,GLQ_Unf,791.0,13,1,13.0
3,60,RL,78.0,9978,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,6,Gable,BrkFace,20.0,TA,TA,PConc,TA,No,324.0,926.0,Ex,926,678,0,1604,0.0,0.0,2,1,3,1,Gd,7,1,Gd,Attchd,Fin,2.0,470.0,TA,360,36,0,0,0,6,WD ,Normal,195500,VinylSd_VinylSd,GLQ_Unf,602.0,12,0,12.0
4,120,RL,39.0,5389,IR1,Lvl,Inside,Gtl,StoneBr,Norm,TwnhsE,1Story,8,5,Gable,None,0.0,Gd,TA,PConc,Gd,No,415.0,1595.0,Ex,1616,0,0,1616,1.0,0.0,2,0,2,1,Gd,5,1,TA,Attchd,RFn,2.0,608.0,TA,237,152,0,0,0,3,WD ,Normal,236500,CemntBd_CmentBd,GLQ_Unf,1180.0,15,1,15.0
5,60,RL,60.0,7500,Reg,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,2Story,7,5,Gable,None,0.0,TA,TA,PConc,TA,No,994.0,994.0,Gd,1028,776,0,1804,0.0,0.0,2,1,3,1,Gd,7,1,TA,Attchd,Fin,2.0,442.0,TA,140,60,0,0,0,6,WD ,Normal,189000,VinylSd_VinylSd,Unf_Unf,0.0,11,0,11.0
6,60,RL,75.0,10000,IR1,Lvl,Corner,Gtl,Gilbert,Norm,1Fam,2Story,6,5,Gable,None,0.0,TA,TA,PConc,Gd,No,763.0,763.0,Gd,763,892,0,1655,0.0,0.0,2,1,3,1,TA,7,1,TA,Attchd,Fin,2.0,440.0,TA,157,84,0,0,0,4,WD ,Normal,175900,HdBoard_HdBoard,Unf_Unf,0.0,17,1,17.0
7,60,RL,63.0,8402,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,5,Gable,None,0.0,TA,TA,PConc,Gd,No,789.0,789.0,Gd,789,676,0,1465,0.0,0.0,2,1,3,1,TA,7,1,Gd,Attchd,Fin,2.0,393.0,TA,0,75,0,0,0,5,WD ,Normal,180400,VinylSd_VinylSd,Unf_Unf,0.0,12,0,12.0
8,20,RL,85.0,10176,Reg,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,1Story,7,5,Gable,None,0.0,TA,TA,PConc,Gd,Gd,663.0,1300.0,Gd,1341,0,0,1341,1.0,0.0,1,1,2,1,Gd,5,1,Po,Attchd,Unf,2.0,506.0,TA,192,0,0,0,0,2,WD ,Normal,171500,HdBoard_HdBoard,GLQ_Unf,637.0,20,0,20.0
9,60,RL,47.0,53504,IR2,HLS,CulDSac,Mod,StoneBr,Norm,1Fam,2Story,8,5,Hip,BrkFace,603.0,Ex,TA,PConc,Gd,Gd,234.0,1650.0,Ex,1690,1589,0,3279,1.0,0.0,3,1,4,1,Ex,12,1,Gd,BuiltIn,Fin,3.0,841.0,TA,503,36,0,210,0,6,WD ,Normal,538000,0,ALQ_Unf,1416.0,7,0,7.0
10,20,RL,88.0,11394,Reg,Lvl,Corner,Gtl,StoneBr,Norm,1Fam,1Story,9,2,Hip,Stone,350.0,Gd,TA,PConc,Ex,Av,411.0,1856.0,Ex,1856,0,0,1856,1.0,0.0,1,1,1,1,Ex,8,1,Ex,Attchd,Fin,3.0,834.0,TA,113,0,0,0,0,6,New,Partial,394432,VinylSd_VinylSd,GLQ_Unf,1445.0,0,0,0.0
11,20,RL,85.0,13175,Reg,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,6,6,Gable,Stone,119.0,TA,TA,CBlock,Gd,No,589.0,1542.0,TA,2073,0,0,2073,1.0,0.0,2,0,3,1,TA,7,2,TA,Attchd,Unf,2.0,500.0,TA,349,0,0,0,0,2,WD ,Normal,210000,Plywood_Plywood,ALQ_Rec,953.0,32,10,32.0
12,20,RL,105.0,11751,IR1,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,6,6,Hip,BrkFace,480.0,TA,TA,CBlock,Gd,No,1139.0,1844.0,Ex,1844,0,0,1844,0.0,0.0,2,0,3,1,TA,7,1,TA,Attchd,RFn,2.0,546.0,TA,0,122,0,0,0,1,COD,Normal,190000,Plywood_Plywood,BLQ_Unf,705.0,33,0,33.0
13,85,RL,85.0,10625,Reg,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,SFoyer,7,6,Gable,BrkFace,81.0,TA,TA,CBlock,Gd,Gd,0.0,1053.0,TA,1173,0,0,1173,1.0,0.0,2,0,3,1,Gd,6,2,TA,Attchd,RFn,2.0,528.0,TA,0,120,0,0,0,1,WD ,Family,170000,Plywood_Plywood,GLQ_LwQ,1053.0,36,0,36.0
